county,age,confirmed,deaths
Adair,Child,0,0
Adair,Adult,0,0
Adair,Middle Age,1,0
Adair,Older Adult,0,0
Adair,Elderly,0,0
Adams,Child,0,0
Adams,Adult,0,0
Adams,Middle Age,0,0
Adams,Older Adult,0,0
Adams,Elderly,0,0
Allamakee,Child,2,0
Allamakee,Adult,7,0
Allamakee,Middle Age,9,0
Allamakee,Older Adult,6,2
Allamakee,Elderly,0,0
Appanoose,Child,0,0
Appanoose,Adult,0,0
Appanoose,Middle Age,0,0
Appanoose,Older Adult,0,0
Appanoose,Elderly,1,1
Audubon,Child,0,0
Audubon,Adult,0,0
Audubon,Middle Age,0,0
Audubon,Older Adult,1,0
Audubon,Elderly,0,0
Benton,Child,1,0
Benton,Adult,2,0
Benton,Middle Age,12,0
Benton,Older Adult,3,0
Benton,Elderly,1,1
Black Hawk,Child,1,0
Black Hawk,Adult,39,0
Black Hawk,Middle Age,29,0
Black Hawk,Older Adult,12,0
Black Hawk,Elderly,4,0
Boone,Child,0,0
Boone,Adult,1,0
Boone,Middle Age,3,0
Boone,Older Adult,0,0
Boone,Elderly,0,0
Bremer,Child,0,0
Bremer,Adult,2,0
Bremer,Middle Age,1,0
Bremer,Older Adult,2,0
Bremer,Elderly,4,0
Buchanan,Child,0,0
Buchanan,Adult,4,0
Buchanan,Middle Age,3,0
Buchanan,Older Adult,1,0
Buchanan,Elderly,0,0
Buena Vista,Child,0,0
Buena Vista,Adult,0,0
Buena Vista,Middle Age,2,0
Buena Vista,Older Adult,0,0
Buena Vista,Elderly,0,0
Butler,Child,0,0
Butler,Adult,0,0
Butler,Middle Age,0,0
Butler,Older Adult,1,0
Butler,Elderly,0,0
Calhoun,Child,0,0
Calhoun,Adult,0,0
Calhoun,Middle Age,0,0
Calhoun,Older Adult,0,0
Calhoun,Elderly,0,0
Carroll,Child,0,0
Carroll,Adult,0,0
Carroll,Middle Age,0,0
Carroll,Older Adult,1,0
Carroll,Elderly,0,0
Cass,Child,0,0
Cass,Adult,0,0
Cass,Middle Age,1,0
Cass,Older Adult,0,0
Cass,Elderly,0,0
Cedar,Child,0,0
Cedar,Adult,7,0
Cedar,Middle Age,8,0
Cedar,Older Adult,6,0
Cedar,Elderly,1,0
Cerro Gordo,Child,0,0
Cerro Gordo,Adult,2,0
Cerro Gordo,Middle Age,6,0
Cerro Gordo,Older Adult,6,0
Cerro Gordo,Elderly,0,0
Cherokee,Child,0,0
Cherokee,Adult,0,0
Cherokee,Middle Age,0,0
Cherokee,Older Adult,0,0
Cherokee,Elderly,0,0
Chickasaw,Child,0,0
Chickasaw,Adult,1,0
Chickasaw,Middle Age,1,0
Chickasaw,Older Adult,0,0
Chickasaw,Elderly,0,0
Clarke,Child,0,0
Clarke,Adult,1,0
Clarke,Middle Age,1,0
Clarke,Older Adult,0,0
Clarke,Elderly,0,0
Clay,Child,0,0
Clay,Adult,1,0
Clay,Middle Age,1,0
Clay,Older Adult,0,0
Clay,Elderly,0,0
Clayton,Child,0,0
Clayton,Adult,5,0
Clayton,Middle Age,0,0
Clayton,Older Adult,1,0
Clayton,Elderly,1,1
Clinton,Child,1,0
Clinton,Adult,9,0
Clinton,Middle Age,19,0
Clinton,Older Adult,9,0
Clinton,Elderly,0,0
Crawford,Child,0,0
Crawford,Adult,1,0
Crawford,Middle Age,2,0
Crawford,Older Adult,3,1
Crawford,Elderly,0,0
Dallas,Child,17,0
Dallas,Adult,12,0
Dallas,Middle Age,7,0
Dallas,Older Adult,2,0
Dallas,Elderly,0,0
Davis,Child,0,0
Davis,Adult,0,0
Davis,Middle Age,0,0
Davis,Older Adult,0,0
Davis,Elderly,0,0
Decatur,Child,0,0
Decatur,Adult,0,0
Decatur,Middle Age,0,0
Decatur,Older Adult,0,0
Decatur,Elderly,0,0
Delaware,Child,0,0
Delaware,Adult,0,0
Delaware,Middle Age,0,0
Delaware,Older Adult,2,0
Delaware,Elderly,0,0
Des Moines,Child,0,0
Des Moines,Adult,2,0
Des Moines,Middle Age,2,0
Des Moines,Older Adult,3,0
Des Moines,Elderly,0,0
Dickinson,Child,0,0
Dickinson,Adult,0,0
Dickinson,Middle Age,0,0
Dickinson,Older Adult,1,0
Dickinson,Elderly,0,0
Dubuque,Child,1,0
Dubuque,Adult,4,0
Dubuque,Middle Age,22,0
Dubuque,Older Adult,9,1
Dubuque,Elderly,1,0
Emmet,Child,0,0
Emmet,Adult,0,0
Emmet,Middle Age,0,0
Emmet,Older Adult,0,0
Emmet,Elderly,0,0
Fayette,Child,0,0
Fayette,Adult,2,0
Fayette,Middle Age,2,0
Fayette,Older Adult,1,0
Fayette,Elderly,0,0
Floyd,Child,0,0
Floyd,Adult,0,0
Floyd,Middle Age,0,0
Floyd,Older Adult,0,0
Floyd,Elderly,0,0
Franklin,Child,0,0
Franklin,Adult,0,0
Franklin,Middle Age,1,0
Franklin,Older Adult,0,0
Franklin,Elderly,0,0
Fremont,Child,0,0
Fremont,Adult,0,0
Fremont,Middle Age,0,0
