date,county,age,count
2020-03-08,Johnson,41-60,1
2020-03-08,Johnson,61-80,2
2020-03-09,Johnson,61-80,4
2020-03-09,Pottawattamie,41-60,1
2020-03-10,Johnson,61-80,5
2020-03-11,Johnson,61-80,1
2020-03-15,Allamakee,0-17,1
2020-03-15,Allamakee,41-60,1
2020-03-15,Johnson,41-60,1
2020-03-15,Polk,41-60,1
2020-03-18,Johnson,NA,3
2020-03-18,Polk,NA,2
2020-03-18,Dallas,NA,2
2020-03-18,Washington,NA,1
2020-03-18,Winneshiek,NA,1
2020-03-19,Polk,18-40,1
2020-03-19,Polk,41-60,1
2020-03-19,Polk,61-80,1
2020-03-19,Muscatine,18-40,1
2020-03-19,Dubuque,41-60,1
2020-03-19,Johnson,18-40,1
2020-03-23,Allamakee,18-40,1
2020-03-23,Dubuque,18-40,1
2020-03-23,Dubuque,61-80,1
2020-03-23,Hancock,61-80,2
2020-03-23,Johnson,41-60,1
2020-03-23,Johnson,61-80,2
2020-03-23,Linn,18-40,1
2020-03-23,Linn,41-60,1
2020-03-23,Muscatine,41-60,1
2020-03-23,Polk,18-40,1
2020-03-23,Polk,41-60,1
2020-03-23,Wapello,61-80,1
2020-03-23,Woodbury,41-60,1
2020-03-27,Benton,41-60,1
2020-03-27,Black Hawk,41-60,2
2020-03-27,Butler,61-80,1
2020-03-27,Cedar,41-60,1
2020-03-27,Cerro Gordo,61-80,1
2020-03-27,Clinton,41-60,1
2020-03-27,Dallas,18-40,1
2020-03-27,Dallas,81+,1
2020-03-27,Dickinson,61-80,1
2020-03-27,Dubuque,41-60,2
2020-03-27,Hardin,41-60,1
2020-03-27,Harrison,41-60,1
2020-03-27,Harrison,61-80,3
2020-03-27,Henry,81+,1
2020-03-27,Iowa,18-40,1
2020-03-27,Johnson,18-40,2
2020-03-27,Johnson,41-60,5
2020-03-27,Johnson,61-80,2
2020-03-27,Linn,18-40,3
2020-03-27,Linn,61-80,7
2020-03-27,Mahaska,41-60,1
2020-03-27,Monona,81+,1
2020-03-27,Marshal,18-40,1
2020-03-27,Montgomery,41-60,1
2020-03-27,Muscatine,41-60,1
2020-03-27,Page,61-80,1
2020-03-27,Polk,18-40,1
2020-03-27,Polk,41-60,1
2020-03-27,Polk,61-80,2
2020-03-27,Tama,81+,1
2020-03-27,Washington,18-40,1
2020-03-27,Washington,61-80,2
2020-03-27,Webster,18-40,1
2020-03-27,Winneshiek,18-40,1
2020-03-27,Woodbury,61-80,1
2020-03-27,Wright,41-60,1
2020-03-28,Benton,18-40,1
2020-03-28,Boone,18-40,1
2020-03-28,Buchanan,61-80,1
2020-03-28,Cedar,41-60,1
2020-03-28,Cerro Gordo,41-60,1
2020-03-28,Dallas,18-40,4
2020-03-28,Dallas,41-60,2
2020-03-28,Dubuque,41-60,1
2020-03-28,Dubuque,61-80,2
2020-03-28,Dubuque,81+,1
2020-03-28,Fayette,18-40,1
2020-03-28,Harrison,41-60,1
2020-03-28,Jasper,18-40,1
2020-03-28,Johnson,18-40,1
2020-03-28,Johnson,41-60,1
2020-03-28,Johnson,61-80,1
2020-03-28,Keokuk,18-40,1
2020-03-28,Linn,18-40,6
2020-03-28,Linn,41-60,5
2020-03-28,Linn,61-80,3
2020-03-28,Marshall,18-40,1
2020-03-28,Marshall,41-60,3
2020-03-28,Muscatine,18-40,1
2020-03-28,Muscatine,41-60,2
2020-03-28,Polk,18-40,4
2020-03-28,Polk,41-60,4
2020-03-28,Polk,61-80,3
2020-03-28,Polk,81+,1
