county,age,count
Allamakee,18-40,1
Clayton,18-40,1
Clinton,41-60,4
Clinton,61-80,1
Crawford,41-60,1
Crawford,61-80,2
Dallas,61-80,2
Dubuque,61-80,1
Fayette,41-60,1
Henry,41-60,1
Jackson,41-60,1
Jasper,61-80,1
Jefferson,18-40,1
Johnson,18-40,1
Johnson,41-60,2
Linn,18-40,1
Linn,41-60,2
Linn,61-80,5
Linn,81+,6
Louisa,61-80,1
Lyon,41-60,1
Marshall,18-40,1
Monona,81+,1
Muscatine,18-40,1
Muscatine,41-60,1
Muscatine,61-80,1
O'Brien,41-60,1
Plymouth,18-40,1
Polk,18-40,6
Polk,41-60,6
Polk,61-80,1
Pottawattamie,61-80,1
Scott,41-60,4
Scott,61-80,2
Shelby,61-80,1
Shelby,81+,1
Sioux,61-80,1
Story,18-40,1
Tama,18-40,3
Tama,41-60,1
Tama,61-80,1
Van Buren,18-40,1
Van Buren,61-80,1
Warren,18-40,1
Warren,41-60,1
Washington,18-40,2
Washington,41-60,3
Washington,61-80,2
Woodbury,61-80,1
