date,county,age,count
2020-03-24,Dubuque,61-80,1
2020-03-27,Poweshiek,81+,1
2020-03-27,Allamakee,61-80,1
2020-03-29,Linn,61-80,1
2020-03-30,Linn,81+,1
2020-03-30,Washington,81+,1
2020-03-31,Muscatine,41-60,1
2020-04-01,Polk,81+,1
2020-04-01,Washington,81+,1
2020-04-02,Linn,61-80,2
2020-04-04,Linn,61-80,1
2020-04-04,Henry,41-60,1
2020-04-04,Polk,61-80,1
2020-04-05,Appanoose,81+,1
2020-04-05,Johnson,61-80,1
2020-04-05,Polk,61-80,2
2020-04-05,Polk,81+,1
2020-04-05,Linn,81+,1
2020-04-05,Scott,81+,1
2020-04-05,Washington,61-80,1
2020-04-06,Linn,61-80,1
2020-04-06,Tama,81+,2
2020-04-07,Benton,81+,1
2020-04-08,Linn,81+,1
2020-04-09,Linn,61-80,1
2020-04-09,Linn,81+,1
2020-04-10,Linn,61-80,1
2020-04-10,Linn,81+,1
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-10,NA,NA,NA
2020-04-11,Crawford,61-80,1
2020-04-11,Johnson,81+,1
2020-04-11,Madison,61-80,1
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-11,NA,NA,NA
2020-04-12,Linn,61-80,2
2020-04-12,Linn,81+,4
2020-04-12,Washingon,81+,1
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-12,NA,NA,NA
2020-04-13,Linn,81+,1
2020-04-13,Muscatine,61-80,1
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
2020-04-13,NA,NA,NA
