county,age,count
Adair,41-60,1
Allamakee,0-17,2
Allamakee,18-40,8
Allamakee,41-60,6
Allamakee,61-80,4
Audubon,61-80,1
Benton,0-17,1
Benton,18-40,2
Benton,41-60,10
Benton,61-80,4
Benton,81+,1
Black Hawk,0-17,1
Black Hawk,18-40,25
Black Hawk,41-60,22
Black Hawk,61-80,9
Black Hawk,81+,1
Blackhawk,41-60,1
Boone,18-40,1
Boone,41-60,3
Bremer,18-40,1
Bremer,41-60,1
Bremer,61-80,1
Bremer,81+,1
Buchanan,18-40,4
Buchanan,41-60,2
Buchanan,61-80,1
Buena Vista,41-60,2
Butler,61-80,1
Carroll,61-80,1
Cass,41-60,1
Cedar,18-40,6
Cedar,4-60,1
Cedar,41-60,5
Cedar,61-80,4
Cerro Gordo,18-40,1
Cerro Gordo,41-60,6
Cerro Gordo,61-80,4
Chickasaw,18-40,1
Chickasaw,41-60,1
Clarke,18-40,1
Clarke,41-60,1
Clay,18-40,1
Clay,41-60,1
Clayton,18-40,3
Clayton,61-80,1
Clayton,81+,1
Clinton,0-17,1
Clinton,18-40,8
Clinton,41-60,17
Clinton,61-80,7
Crawford,18-40,1
Crawford,41-60,2
Crawford,61-80,3
Dallas,18-40,16
Dallas,41-60,11
Dallas,61-80,6
Dallas,81+,1
Delaware,61-80,2
Des Moines,41-60,2
Des Moines,61-80,3
Dickinson,61-80,1
Dubuque,0-17,1
Dubuque,18-40,4
Dubuque,41-60,19
Dubuque,61-80,8
Dubuque,81+,1
Fayette,18-40,1
Fayette,41-60,2
Fayette,61-80,1
Franklin,41-60,1
Greene,41-60,1
Grundy,41-60,1
Guthrie,41-60,1
Hamilton,18-40,1
Hamilton,61-80,1
Hancock,61-80,2
Hardin,41-60,1
Hardin,61-80,1
Harrison,18-40,1
Harrison,41-60,3
Harrison,61-80,6
Henry,0-17,1
Henry,18-40,6
Henry,41-60,4
Henry,61-80,5
Henry,81+,3
Howard,18-40,1
Iowa,18-40,4
Iowa,41-60,2
Iowa,61-80,1
Jackson,18-40,1
Jackson,41-60,2
Jasper,18-40,2
Jasper,41-60,4
Jasper,61-80,2
Jasper,81+,2
Jefferson,18-40,2
Jefferson,41-60,2
Johnson,0-17,1
Johnson,18-40,74
Johnson,41-60,75
Johnson,61-80,34
Johnson,81+,1
Jones,18-40,4
Jones,41-60,6
Keokuk,18-40,2
Keokuk,61-80,1
Lee,61-80,2
Linn,0-17,2
Linn,18-40,67
Linn,41-60,82
Linn,61-80,63
Linn,81+,33
Louisa,18-40,26
Louisa,41-60,40
Louisa,61-80,10
Louisa,81+,2
Lyon,18-40,1
Lyon,41-60,2
Lyon,61-80,1
Madison,61-80,2
Mahaska,41-60,4
Marion,18-40,2
Marion,61-80,1
Marshal,18-40,1
Marshall,18-40,16
Marshall,41-60,16
Marshall,61-80,4
Mills,41-60,2
Mitchell,41-60,2
Monona,0-17,1
Monona,18-40,1
Monona,61-80,1
Monona,81+,2
Montgomery,41-60,1
Muscatine,0-17,2
Muscatine,18-40,32
Muscatine,41-60,47
Muscatine,61-80,17
Muscatine,81+,2
O'Brien,41-60,2
O'Brien,61-80,1
Osceola,18-40,1
Osceola,41-60,1
Page,41-60,1
Page,61-80,1
Plymouth,18-40,4
Polk,0-17,3
Polk,18-40,59
Polk,41-60,59
Polk,61-80,47
Polk,81+,8
Pottawattamie,0-17,1
Pottawattamie,18-40,2
Pottawattamie,41-60,5
Pottawattamie,61-80,1
Pottawattmie,41-60,1
Pottawattmie,61-80,1
Poweshiek,18-40,1
Poweshiek,41-60,1
Poweshiek,61-80,1
Scott,0-17,1
Scott,18-40,33
Scott,41-60,51
Scott,61-80,23
Scott,81+,4
Shelby,18-40,1
Shelby,41-60,1
Shelby,61-80,3
Shelby,81+,1
Sioux,18-40,1
Sioux,41-60,2
Sioux,61-80,2
Story,18-40,2
Story,41-60,2
Story,61-80,2
Tama,18-40,29
Tama,41-60,33
Tama,61-80,18
Tama,81+,17
Taylor,18-40,1
Union,61-80,1
Van Buren,18-40,1
Van Buren,41-60,2
Van Buren,61-80,4
Wapello,18-40,2
Wapello,41-60,3
Wapello,61-80,1
Warren,18-40,5
Warren,41-60,8
Warren,81+,2
Washingon,41-60,1
Washingon,81+,1
Washingto,41-60,2
Washington,18-40,20
Washington,41-60,33
Washington,61-80,20
Washington,81+,4
Webster,18-40,1
Webster,61-80,1
Winebago,18-40,1
Winnebago,41-60,1
Winneshiek,18-40,1
Winneshiek,41-60,3
Winneshiek,61-80,1
Wodbury,18-40,1
Woodbury,18-40,4
Woodbury,41-60,11
Woodbury,61-80,2
Worth,41-60,1
Wright,41-60,1
