county,age,count
Allamakee,61-80,1
Benton,41-60,2
Black Hawk,18-40,1
Black Hawk,41-60,1
Boone,41-60,1
Buchanan,18-40,2
Cedar,61-80,1
Clarke,18-40,1
Clayton,61-80,1
Clinton,41-60,1
Dallas,18-40,1
Dallas,41-60,1
Hamilton,61-80,1
Henry,81+,2
Johnson,18-40,7
Johnson,41-60,3
Jones,18-40,1
Linn,18-40,3
Linn,41-60,8
Linn,61-80,4
Linn,81+,7
Louisa,81+,1
Louisa,41-60,4
Muscatine,18-40,2
Muscatine,41-60,3
Muscatine,61-80,1
Plymouth,18-40,1
Polk,18-40,3
Polk,41-60,8
Polk,61-80,2
Scott,18-40,3
Shelby,41-60,1
Tama,61-80,1
Warren,41-60,1
Washington,41-60,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
