county,age,count
Benton,18-40,1
Boone,18-40,1
Buchanan,61-80,1
Cedar,41-60,1
Cerro Gordo,41-60,1
Dallas,18-40,4
Dallas,41-60,2
Dubuque,41-60,1
Dubuque,61-80,2
Dubuque,81+,1
Fayette,18-40,1
Harrison,41-60,1
Jasper,18-40,1
Johnson,18-40,1
Johnson,41-60,1
Johnson,61-80,1
Keokuk,18-40,1
Linn,18-40,6
Linn,41-60,5
Linn,61-80,3
Marshall,18-40,1
Marshall,41-60,3
Muscatine,18-40,1
Muscatine,41-60,2
Polk,18-40,4
Polk,41-60,4
Polk,61-80,3
Polk,81+,1
Poweshiek,18-40,1
Scott,18-40,2
Scott,41-60,1
Shelby,61-80,1
Tama,18-40,2
Tama,41-60,1
Taylor,18-40,1
